GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vag,com.example.vag.dto,SimilarArtworkInfo,3,27,0,0,1,8,1,4,1,4
vag,com.example.vag.dto,PresignedUploadResult,27,0,0,0,10,0,5,0,5,0
vag,com.example.vag.dto,ModerationResult,10,68,0,0,3,19,3,18,3,18
vag,com.example.vag.controller,AdminController.new MultipartFile() {...},76,0,7,0,14,0,13,0,9,0
vag,com.example.vag.controller,ExhibitionController,533,0,38,0,112,0,35,0,16,0
vag,com.example.vag.controller,ArtworkController,877,0,94,0,196,0,63,0,16,0
vag,com.example.vag.controller,CategoryController,65,0,0,0,16,0,4,0,4,0
vag,com.example.vag.controller,GlobalModelAttributes,63,0,12,0,19,0,10,0,4,0
vag,com.example.vag.controller,HomeController,153,0,8,0,42,0,10,0,6,0
vag,com.example.vag.controller,AuthController,59,0,6,0,17,0,8,0,5,0
vag,com.example.vag.controller,AdminController,443,0,22,0,103,0,29,0,18,0
vag,com.example.vag.controller,UserController,475,0,42,0,107,0,39,0,18,0
vag,com.example.vag.controller,UploadController,50,0,2,0,17,0,3,0,2,0
vag,com.example.vag.util,JdbcCleanupListener,29,0,4,0,14,0,4,0,2,0
vag,com.example.vag.util,FileUploadUtil,273,0,2,0,83,0,10,0,9,0
vag,com.example.vag.util,FileUploadUtil.new MultipartFile() {...},73,0,5,0,14,0,12,0,9,0
vag,com.example.vag.util,MinioProperties,15,0,0,0,5,0,5,0,5,0
vag,com.example.vag.util,HashUtils,249,0,22,0,50,0,16,0,5,0
vag,com.example.vag.util,UploadsInitializer,4,0,0,0,2,0,2,0,2,0
vag,com.example.vag.model,Artwork.ArtworkStatus,21,0,0,0,2,0,1,0,1,0
vag,com.example.vag.model,Role,121,0,22,0,7,0,21,0,10,0
vag,com.example.vag.model,Role.RoleName,15,0,0,0,2,0,1,0,1,0
vag,com.example.vag.model,Like,155,0,30,0,11,0,26,0,11,0
vag,com.example.vag.model,Category,202,0,38,0,20,0,34,0,15,0
vag,com.example.vag.model,ImageHash,56,0,0,0,13,0,12,0,12,0
vag,com.example.vag.model,Notification,64,0,0,0,14,0,16,0,16,0
vag,com.example.vag.model,Comment,238,0,46,0,19,0,38,0,15,0
vag,com.example.vag.model,Exhibition,309,0,58,0,27,0,52,0,23,0
vag,com.example.vag.model,Artwork,717,0,132,0,67,0,115,0,49,0
vag,com.example.vag.model,User,488,0,90,0,43,0,76,0,31,0
vag,com.example.vag.recommendation.controller,RecommendationController,203,0,6,0,49,0,10,0,7,0
vag,com.example.vag.service.impl,ArtworkServiceImpl,812,0,48,0,193,0,66,0,42,0
vag,com.example.vag.service.impl,ExhibitionServiceImpl,145,0,2,0,28,0,19,0,18,0
vag,com.example.vag.service.impl,ImageHashService,214,0,18,0,59,0,20,0,11,0
vag,com.example.vag.service.impl,UserServiceImpl,148,0,12,0,32,0,20,0,14,0
vag,com.example.vag.service.impl,ExternalImageSearchService,91,0,10,0,18,0,7,0,2,0
vag,com.example.vag.service.impl,YandexVisionService,219,319,42,30,53,68,33,16,2,11
vag,com.example.vag.service.impl,NotificationServiceImpl,83,0,8,0,19,0,12,0,8,0
vag,com.example.vag.service.impl,ModerationServiceImpl,10,305,0,14,2,78,0,9,0,2
vag,com.example.vag.service.impl,UserDetailsServiceImpl,61,0,6,0,15,0,7,0,4,0
vag,com.example.vag.service.impl,CategoryServiceImpl,84,0,0,0,20,0,13,0,13,0
vag,com.example.vag.service.impl,NSFWDetectionService,351,113,24,12,73,22,21,11,8,6
vag,com.example.vag.service.impl,NSFWDetectionService.NsfwAnalysisResult,0,15,0,0,0,6,0,3,0,3
vag,com.example.vag.recommendation.dto,RecommendationDTO,66,0,0,0,28,0,14,0,14,0
vag,com.example.vag.recommendation.service,RecommendationService,0,5,0,0,0,1,0,1,0,1
vag,com.example.vag.recommendation.service,RecommendationServiceImpl,358,47,30,2,73,14,21,4,5,4
